	Control_cell_T0-1	Control_cell_T0-2	Control_cell_T0-3	Control_cell_T1h-1	Control_cell_T1h-2	Control_cell_T1h-3	Control_cell_T2h-1	Control_cell_T2h-2	Control_cell_T2h-3	Control_cell_T4h-1	Control_cell_T4h-2	Control_cell_T4h-3	Control_cell_T6h-1	Control_cell_T6h-2	Control_cell_T6h-3	Control_cell_T24h-1	Control_cell_T24h-2	Control_cell_T24h-3	L-Cycloserine_cell_T0-1	L-Cycloserine_cell_T0-2	L-Cycloserine_cell_T0-3	L-Cycloserine_cell_T1h-1	L-Cycloserine_cell_T1h-2	L-Cycloserine_cell_T1h-3	L-Cycloserine_cell_T2h-1	L-Cycloserine_cell_T2h-2	L-Cycloserine_cell_T2h-3	L-Cycloserine_cell_T4h-1	L-Cycloserine_cell_T4h-2	L-Cycloserine_cell_T4h-3	L-Cycloserine_cell_T6h-1	L-Cycloserine_cell_T6h-2	L-Cycloserine_cell_T6h-3	L-Cycloserine_cell_T24h-1	L-Cycloserine_cell_T24h-2	L-Cycloserine_cell_T24h-3
L-Glutamic_acid_m+1	2162792.65997	1994085.8501499998	1573847.74794	13352457.408000002	11769767.672	11703250.514800001	10473530.3629	14777548.207799999	14931769.7016	16621183.686399998	16953368.180999998	17353340.099600002	21213795.6695	21418979.7378	22610804.1425	44822008.21	31892903.991000004	29127490.035	1737506.5117199998	2144642.6388600003	2125737.3479999998	10198298.387600001	11232901.944	11227969.124000002	10353970.8415	13161366.659200002	13172018.048799999	11286649.36	11531355.31	14597285.752499998	18965376.4832	20371452.0064	20038382.9064	22327617.568000004	28726620.65	28584304.316999998
L-Glutamic_acid_m+2	8378196.80901	8585064.34433	8414032.19091	47735035.2336	42204348.014400005	41206654.507199995	35314413.774500005	52807686.827	52176833.67480001	53112953.0832	55356253.282000005	56302890.738800004	70376325.70500001	69401569.305	73858341.0225	121748055.798	85211454.744	77654935.59	8004940.71471	8027653.18032	7103505.6378999995	33790740.7578	39502371.8364	37481602.811	35869630.4537	47958642.75379999	47485514.770600006	39263431.4611	36200681.725999996	49448085.9125	65551151.635199994	74281913.72799999	73655296.342	62773916.73099999	82288251.50000001	82458148.902
L-Glutamic_acid_m+3	0.0	83961.50948	0.0	9826574.1237	8618806.248000002	8234322.967	8796628.622299999	12260847.858	12632952.049800001	16069770.0096	16644000.148500001	16228979.433	22374122.1865	22233970.643400002	23425118.8175	63280726.86200001	43649383.51799999	42905867.535	124107.60798	196756.20540000004	124001.34529999999	7371750.5058	8679969.684	8354929.965799999	9094117.046799999	11956183.375	11963933.5532	12330664.4258	11129701.361	15967428.0975	22441573.9184	24408799.36	24594914.42	34144149.043000005	45392219.6	45295585.03400001
L-Glutamic_acid_m+4	167983.89592	125942.26421999998	221952.88753000004	8240969.806500001	7061860.603200001	6937855.095600001	6920772.437899999	10260393.7338	9870152.8536	13096074.824000001	13405948.075	13577185.408000002	18691346.7195	18541043.1024	20249291.585	51269311.853999995	35576396.271	34804181.565	310269.01995	295134.30809999997	212573.7348	5894559.653000001	7165229.8763999995	7033992.4218	7356387.6748	9679726.0604	10210262.5112	10553017.151600001	9082561.879	13385236.755	19225500.100799996	21189476.6336	21772971.607600003	29687628.601	39777606.05	40071454.65
L-Glutamic_acid_m+5	0.0	0.0	0.0	1335245.7408	982358.5616000001	1016150.4937999999	1335836.9798	2064984.9023999998	2087916.9498000003	3072161.9135999996	3526795.5705	3245795.8866000003	4893550.963	4762603.1046	5265901.565	20931657.036000002	14212141.047	15266442.27	0.0	0.0	0.0	965855.5576	1225407.4848	1188843.7896	1375702.4194999998	2257327.4211999997	2006979.0814000003	2497171.1709000003	2137835.535	3337526.225	5533538.7743999995	6280318.1056	6575903.434400001	13121976.857	18210360.35	18195408.667
L-Glutamine_m+0	35321718.1	27138746.6	33067677.3	23473172.72121	18675055.292717997	20254273.382480003	15675648.8084	17740964.22225	18199684.70112	17465956.14862	18906265.1283	16788211.3395	17850218.29976	16751615.191979997	17394542.107249998	20940798.3235	19851001.08	16741950.409599997	29078468.401100002	26186426.1061	23446972.9	15708563.776560001	18382003.031082	17539497.251351997	14088879.232835	14099263.78809	14920612.088460002	13173672.521100003	12536449.968	14542749.75832	15613757.08134	15119218.89302	14614153.58297	15381014.088999998	17162099.7352	15829844.430400003
L-Glutamine_m+1	0.0	0.0	0.0	1207806.93807	1051347.983535	1047536.4052100001	726907.6756000001	1018111.0088999999	1043511.6733599999	1362958.18228	1793740.5277999998	1569361.4685	1833566.00163	1554610.9832999997	2014532.0387500003	3889349.6541000004	3309229.728	2898224.3290000004	0.0	0.0	0.0	713449.9538400001	1159980.031097	936163.001988	835129.98668	1111376.10558	788304.9912600002	1003708.3825600002	960754.72225	1394931.2888	1423044.82386	1569741.10949	1630068.53336	1803756.738	2990953.6382999998	3138802.6410000003
L-Glutamine_m+2	353217.18100000004	282242.96464	327370.00527	6644620.34175	4716788.360699001	5260516.60709	3104545.1736000003	4287716.26385	4854826.34936	5044574.308119999	5795161.7052	5053607.6868	5708326.69088	5334770.321639999	5631993.88675	11200555.881199999	9761352.24	8337099.8555	262493.6967	272720.6404	178196.99404	3444823.4457600005	4203341.206776	3456964.6370639997	3460668.364615	4054621.19127	3122586.3513900004	3517026.5501800007	3268431.5988	4329015.575920001	4557220.3347000005	5051573.97432	4723270.870759999	6141362.226999999	8499584.2043	8208611.3512
L-Glutamine_m+3	0.0	0.0	0.0	1221264.3969899998	892996.8057679998	1018993.1789100001	777183.7108	1240981.0805000002	1232763.16072	1645324.02084	1823736.1888	1645851.3551999999	1871582.5215999999	1838259.3030599998	2197144.2955000005	5942463.5978999995	5178331.704	4663506.420299999	0.0	0.0	0.0	607910.01984	878234.3342660001	848913.5534399998	714981.568785	908539.4018999999	790347.23217	1295107.5904	936502.6613000002	1766124.8690400003	1735965.67518	1757399.98203	1649707.9132799997	3288481.6720000003	4558197.8275	4449390.4104
L-Glutamine_m+4	0.0	0.0	0.0	999216.3248099999	576294.450234	839170.8532199999	550941.5523999999	863621.5274499999	822718.27144	1352097.9577199998	1448790.4263	1107784.566	1555752.9710799998	1440060.70032	1507275.77	4409857.4145	3987709.3679999993	3519272.3995	0.0	0.0	0.0	563583.2475599999	708171.6163590001	726292.706832	527865.18026	790217.9914200001	655559.33211	1021920.8330500002	781662.5798500001	1234159.54704	1169727.94422	1316148.0384900002	1544146.24621	2785393.058	3898713.8865000005	3542625.203
