metabolite	log2FC	stat	pvalue	padj	distance/span	FC	count_nan_samples	distance	span_allsamples	compartment	input_Cont_T48-1	input_Cont_T48-2	input_Cont_T48-3	input_sgLDHAB_T48-1	input_sgLDHAB_T48-2	input_sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	geommean_sgLDHAB_T48	geommean_Cont_T48
ATP_m+2	63.43722752417197	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.15441227295340657	1.2488443879032893e+19	('0/3', '0/3')	0.40139996283240537	2.5995340600518624	en	2.3e-16	2.3e-16	2.3e-16	966.0422161	3921.011287	6256.252807	9.556724324550274e-20	9.556724324550274e-20	9.556724324550274e-20	0.40139996283240537	1.629218432317786	2.5995340600518624	1.1934861539453558	9.55672432455035e-20
FruBP_m+6	-0.7510858576242657	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.15259141260683923	0.5941561920707008	('0/3', '0/3')	0.442895345408691	2.9024919413377277	en	7218028.878	3845325.756	4606560.066	2992280.558	2823096.971	3174696.888	4.766915869019401	2.5395221711698763	3.0422549772744842	1.9761558061874562	1.8644239276816736	2.0966268257611853	1.976798166641884	3.3270681901883763
Suc_m+0	0.17466621978775407	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.14118226871814193	1.1287032391541179	('0/3', '0/3')	0.3696771247271613	2.6184387606434445	en	10572135.74	11499767.96	10653492.41	11797446.38	12449592.87	12680604.62	13.129190697090044	14.281186907946962	13.230224893129437	14.650864032674123	15.460743496976944	15.747629457733488	15.279281540235388	13.537022850830228
2_3-PG_m+3	0.4254029572789834	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.1410550529095222	1.3429475473372714	('0/3', '0/3')	0.39385293112530206	2.7921929984169624	en	1641241.102	1488116.365	1673205.23	1808396.988	2237113.191	2446548.943	4.781412922421069	4.335316005068747	4.874533728673654	5.268386659798956	6.517361713237203	7.127509003485709	6.255025439372489	4.657684100748862
Cit_m+6	1.2070539740895563	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.13647761609162998	2.308657204873676	('0/3', '0/3')	0.3779875595686957	2.7695938014840316	en	29960.34452	23504.72813	35976.50785	45377.36631	74361.86506	92386.78168	1.2046386568990157	0.9450727145810442	1.4465351714300279	1.8245227309987235	2.989924805123177	3.714666516065076	2.726317671395581	1.1809105594543032
Suc_m+4	0.5212623896978679	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.13242013951821288	1.4352105393274557	('0/3', '0/3')	0.40147095845778935	3.0317968242479583	en	1252141.25	1664000.598	1823843.445	1984800.364	2467643.058	2293728.611	3.1231857001564145	4.150476531881146	4.549168687436831	4.95063964589462	6.154982524404373	5.721191916578769	5.586308110183128	3.8923265661084754
UMP_m+0	-0.38743961669914107	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.11502671212324597	0.7644851502368937	('0/3', '0/3')	0.3602592104934814	3.13196129702012	en	4909290.262	3703942.253	3539641.337	2816563.507	3094979.387	3298921.859	7.347211985361064	5.543295967845313	5.297404281915702	4.2152506883409435	4.631926089729309	4.93714507142222	4.585150963484248	5.997697878190873
Aspartate_m+3	1.5975823058438865	1.9639610121239315	0.024767306717813353	0.029013130726581356	0.11147047871304205	3.026357257460352	('0/3', '0/3')	0.3304647415470052	2.964594261748163	en	225085.503476256	377108.73788916	511181.608607574	1672767.99427665	672555.468881583	1069020.67857771	0.4609347672910483	0.7722511030600299	1.0468083113662239	3.4255290290392115	1.377273052913229	2.189162740822688	2.1777528135585085	0.7195954172925464
FruBP_m+5	-0.9084613741724357	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.10652634549707721	0.5327529662793722	('0/3', '0/3')	0.3151812103934082	2.9587160708714624	en	389309.3425	161619.6409	194763.4675	129978.8555	108262.7398	131680.7734	4.0984512786467935	1.7014495969899324	2.0503709910559316	1.36835145825205	1.139735207775331	1.3862683865965242	1.2930529647143483	2.4271154673145072
PRPP_m+1	-14.815558681371519	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.09271968456463454	3.4679468624586074e-05	('0/3', '0/3')	0.2582260809497805	2.785018975876391	en	2.75e-11	2.55e-12	4.16e-12	2.3e-16	2.3e-16	2.3e-16	2.7850422689571857	0.2582493740305754	0.42130093959497794	2.3293080794914645e-05	2.3293080794914645e-05	2.3293080794914645e-05	2.3293080794914652e-05	0.6716677538248373
PRPP_m+4	-15.009241973421682	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.09084513862403419	3.0322705906973997e-05	('0/3', '0/3')	0.2529258836111687	2.7841432953051166	en	3.17e-11	2.88e-12	4.78e-12	2.3e-16	2.3e-16	2.3e-16	2.7841634958604495	0.25294608416650144	0.41982023691523507	2.0200555332741435e-05	2.0200555332741435e-05	2.0200555332741435e-05	2.020055533274146e-05	0.6661857749342708
PRPP_m+2	-15.547331755014735	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.0900602745974764	2.0882706718932542e-05	('0/3', '0/3')	0.2506868137527667	2.7835448523026294	en	4.63e-11	4.17e-12	6.92e-12	2.3e-16	2.3e-16	2.3e-16	2.783558679915942	0.25070064136607945	0.41603080054035246	1.3827613312757378e-05	1.3827613312757378e-05	1.3827613312757378e-05	1.3827613312757387e-05	0.6621561801766381
PRPP_m+0	-11.500877216392942	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.08694385862718745	0.0003450571106527654	('0/3', '0/3')	0.24185235837331975	2.781707209595736	en	2.85e-12	2.48e-13	4.19e-13	2.3e-16	2.3e-16	2.3e-16	2.7819317163658286	0.24207686514341242	0.4089927681253621	0.00022450677009268086	0.00022450677009268086	0.00022450677009268086	0.00022450677009268097	0.6506365559833499
Glutamate_m+2	-1.2018254278092366	-1.9639610121239315	0.024767306717813353	0.029013130726581356	0.08676980774172091	0.43472488040837837	('0/3', '0/3')	0.2603778519015756	3.00078862311896	en	3345338.126	2288340.411	3111967.562	1650163.827	579050.4708	2048310.163	3.628925780772107	2.482325313581931	3.375772160935914	1.7900498630486905	0.6281371576531473	2.2219474616803554	1.3569102813979979	3.1213080790851517
