metabolite_or_isotopologue	sgLDHAB_T0-1	sgLDHAB_T0-2	sgLDHAB_T0-3	Cont_T0-1	Cont_T0-2	Cont_T0-3	sgLDHAB_T24-1	sgLDHAB_T24-2	sgLDHAB_T24-3	Cont_T24-1	Cont_T24-2	Cont_T24-3	sgLDHAB_T48-1	sgLDHAB_T48-2	sgLDHAB_T48-3	Cont_T48-1	Cont_T48-2	Cont_T48-3
CMP_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMP_m+5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38562.19384	23997.49177	29356.35007	0.0	0.0	0.0	49889.21028	30835.53259	30486.79723
CMP_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CMP_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74996.8526	59635.17911	64611.32382	0.0	0.0	0.0	95673.4106	64207.30432	60416.85597
CMP_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27608.0871	18076.48138	16899.86349	0.0	0.0	0.0	36782.05805	23302.26722	23428.76125
CMP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTP_m+0	2559034.123	2403170.411	2643374.214	12730795.07	9523259.758	12601976.48	372802.2169	481281.9527	408404.4759	7945098.805	5829823.837	7193611.444	247532.498	134798.5378	147421.5002	2274396.788	1981709.543	2016225.114
CTP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTP_m+3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTP_m+4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17908.89756	11770.71984	15270.46759	0.0	0.0	0.0	0.0	0.0	0.0
CTP_m+5	0.0	0.0	0.0	0.0	0.0	0.0	22086.37757	28636.99459	23230.12906	550952.3919	322225.7238	445704.8427	37148.3458	45123.7466	49256.27573	77976.88369	69395.55254	76548.23858
CTP_m+6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82799.03548	60696.99642	71279.57116	0.0	0.0	0.0	12766.32784	13698.87236	15131.05822
CTP_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1328491.751	802634.2395	1100083.463	0.0	0.0	0.0	149363.1502	137189.8378	145525.3803
CTP_m+8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	429739.0248	255666.7087	346503.7777	0.0	0.0	0.0	61855.87728	55172.52942	58004.9804
CTP_m+9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GDP_m+0	11499562.02	12605496.21	13455564.71	12976178.65	9596867.453	11882801.16	4667034.011	4852442.486	5104867.803	3781944.076	2459135.228	3353615.18	248770.2428	255295.1454	230677.3447	3641614.755	2695725.766	2167769.54
GDP_m+1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GDP_m+10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GDP_m+2	0.0	0.0	0.0	0.0	0.0	0.0	40731.96615	36030.03089	28982.95196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GDP_m+3	0.0	0.0	0.0	3280.76233	0.0	0.0	153667.7225	156071.0444	160492.327	20131.77774	12707.04904	18848.43293	0.0	0.0	0.0	19787.7205	15637.74816	10927.86402
GDP_m+4	0.0	0.0	0.0	0.0	0.0	0.0	165228.7282	146045.5608	151746.3881	184440.8251	123494.134	166142.3329	13009.19527	13121.16939	9757.457033	189289.8614	134368.0918	104429.5941
GDP_m+5	105971.5743	117694.175	138881.2378	537458.9848	368273.7491	528949.7938	4069258.235	3928437.499	4019313.487	6469504.622	4482500.754	5904672.121	275480.1742	265112.2948	263600.134	5753166.211	4235447.587	3656055.486
GDP_m+6	0.0	0.0	0.0	23241.96995	20199.43574	20016.7107	0.0	0.0	0.0	786544.0862	432101.4137	665701.7616	0.0	0.0	0.0	407503.8602	278322.0127	203989.6766
GDP_m+7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202249.3151	88070.66869	168436.2197	0.0	0.0	0.0	73093.69845	63829.87993	40325.22037
