	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3
IsoCit_label4	0	0	0	10599.87698	6702.555462	6854.674021	0	0	0	0	0	0	16901.56678	49237.39923	41742.2067	331288.9614	288846.3519	122427.1907	87161.34776	67914.80465	307929.7173	44398.66423	46872.52955	53252.76263	0	0	0	113752.0439	48548.59412	40151.63186	102517.7818	203146.0596	199686.0162	19677.98227	26837.15821	36207.05524
IsoCit_label5	0	0	0	10620.86278	16362.23118	7243.188091	0	0	0	0	0	0	11459.39608	44058.35066	37764.60754	231670.8264	207602.8573	116069.7336	73816.2589	71992.60512	236647.4349	33884.20423	26219.30787	38986.60703	0	0	0	88613.49284	46052.74445	29792.36109	90983.95825	175718.5488	159080.701	16603.64546	21356.02159	21409.87263
IsoCit_label6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mal_label0	9900596.866	13197588.16	13243353.65	9730217.863	14206692.82	15490885.28	6753042.603	10316031.62	10780577.34	12905663.03	13512084.64	16836039.54	20415160.62	26356113.4	24051787.01	10222666.12	11005711.47	10926697.45	7182294.872	8198033.375	8663292.808	14704379.21	16376418.98	14235256.2	13999610.91	15465330.07	16567260.97	6479397.031	5541535.891	3492539.572	5368226.959	6255465.116	5204385.582	7544065.691	8912796.852	8106645.13
Mal_label1	830140.8603	1507441.924	1595457.94	611545.6082	1270294.531	1411902.919	259050.0392	678078.5495	1024458.135	302161.1034	900119.2751	1328756.653	2274697.975	3007971.263	2557249.9	524640.3452	1318049.312	1346942.31	888885.5101	876585.3286	1471856.317	713407.3755	751972.4783	830148.4585	1675486.992	1894825.277	1693843.397	1544778.499	1451634.873	707329.4244	1571329.524	1966166.596	1447017.87	1077368.607	1795469.902	1359276.744
Mal_label2	721906.3333	1213157.783	1190558.305	934087.7991	1318162.84	1296076.386	1089043.194	1435453.054	1463568.593	296055.4458	673306.9347	924750.8865	7166824.924	9568016.879	8662663.004	6169579.342	5554307.727	5067443.414	4130874.396	5717313.988	5008174.327	6100230.536	6186284.426	5712813.079	4111960.603	4893206.904	5105359.512	2846029.061	2488671.784	1951225.743	2599622.079	3881061.957	3360622.96	3011527.734	3488532.461	3260576.599
Mal_label3	825448.0424	1062973.887	1163657.035	4941880.581	4769440.201	4211783.645	6403578.669	6640854.119	5762782.254	1693606.524	2148435.408	2231692.389	4712729.846	7315834.876	6668549.06	12963862.49	9831574.119	9758823.24	8106995.398	12030973.9	9182643.82	15425730.53	15783526.06	14269271.88	3680219.922	4852331.548	4822612.65	3185749.355	2673561.834	2179532.137	2822060.298	5115486.528	4957206.736	2994455.672	3714028.333	3705740.456
Mal_label4	70714.85859	134653.9543	175574.4474	141647.6995	131524.9149	150783.5976	31951.31161	49912.39298	83187.04935	47406.7828	57891.06791	115592.5475	4052206.975	5763756.684	5446063.418	1099087.155	773745.4886	917430.8528	948541.7908	630963.9775	1572158.473	181082.8695	208282.9211	231350.7114	2425733.947	3216326.849	3362994.555	1699862.051	1958484.948	1828930.759	1790624.264	2852196.652	2128845.292	2171996.631	1944550.734	2114963.695
P5P_label0	260384.0556	249168.2219	280404.4315	218078.021	271462.4692	236081.1142	170095.8963	189135.0076	177110.7578	259973.9428	287459.0157	303164.6186	73452.0623	119645.5798	95804.28378	96205.24834	39240.24465	63020.29225	26881.74628	47538.63017	44675.19347	53782.81111	32265.17901	51062.11694	70496.56661	84102.18395	81415.83385	63645.99825	22297.88641	25569.15892	27555.74863	79212.44725	75700.76626	51531.12812	41919.08198	33705.48337
P5P_label1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
