	AB_T0_cell-1	AB_T0_cell-2	AB_T0_cell-3	A_T0_cell-1	A_T0_cell-2	A_T0_cell-3	B_T0_cell-1	B_T0_cell-2	B_T0_cell-3	Cont_T0_cell-1	Cont_T0_cell-2	Cont_T0_cell-3	AB_T24_cell-1	AB_T24_cell-2	AB_T24_cell-3	A_T24_cell-1	A_T24_cell-2	A_T24_cell-3	B_T24_cell-1	B_T24_cell-2	B_T24_cell-3	Cont_T24_cell-1	Cont_T24_cell-2	Cont_T24_cell-3	AB_T48_cell-1	AB_T48_cell-2	AB_T48_cell-3	A_T48_cell-1	A_T48_cell-2	A_T48_cell-3	B_T48_cell-1	B_T48_cell-2	B_T48_cell-3	Cont_T48_cell-1	Cont_T48_cell-2	Cont_T48_cell-3	AB_T0_med-1	AB_T0_med-3	Cont_T0_med-1	Cont_T0_med-3	Cont_T24_med-1	Cont_T24_med-2	Cont_T24_med-3	Cont_T48_med-1	Cont_T48_med-2	Cont_T48_med-3	A_T24_med-1	A_T24_med-2	A_T24_med-3	A_T48_med-1	A_T48_med-2	A_T48_med-3	B_T24_med-1	B_T24_med-2	B_T24_med-3	B_T48_med-1	B_T48_med-2	B_T48_med-3	AB_T24_med-1	AB_T24_med-2	AB_T24_med-3	AB_T48_med-1	AB_T48_med-2	AB_T48_med-3	B_T0_med-1	Cont_T0_med-2	A_T0_med-3	A_T0_med-1	B_T0_med-3	AB_T0_med-2	A_T0_med-2	B_T0_med-2
Cit	9864962.51524	10555893.2304	10669627.30698	6104076.527709	6622207.696758	6124714.747035	3727385.132799	5173441.27989	4620063.391073	4979269.248302	3993771.11194	4639126.18108	5795629.51522	10517675.48467	10585287.8724	17362710.7065	15099558.4283	12077987.4816	8922269.3584	9726833.00422	15717894.8574	7907565.88209	6810005.74082	8034314.5794	6683038.80426	9671676.64116	11516670.83658	10943713.60077	5530370.75867	4251489.17991	8829539.1364	13263631.1817	14751114.6135	3364257.09422	4786453.74664	4646609.65085																																				
a-KG	1278167.16785	1369741.13722	1546042.805551	562535.286505	809025.33529	873852.91357	469546.233745	563744.19918	635431.85861	622126.073661	562802.895859	819573.18659	978644.96191	7380522.2066	8262190.0539	9074143.42373	7326336.26455	4956645.52238	3603824.31295	2350053.61746	6789103.08538	2975407.95778	2045120.9114	2983884.67943	15141020.4483	20989621.8864	24554966.1982	3276721.95827	3224428.52304	5292439.2632	3533310.369	5397177.9299	5691869.8704	1280021.24849	1087730.89083	1605672.06536																																				
2_3-PG	8311914.9883	7771852.78131	8898422.55703	8698700.9926	10718305.7217	8434329.0684	7077503.65251	8354130.8746	8468784.338	12286964.5295	12019744.893	14090833.6695	6369879.98689	7127045.47675	7660166.43242	10724272.97107	8536357.58654	12154523.1945	6233353.72872	10924679.80858	7928090.5421	9205926.67059	6236145.46361	8265085.22879	2555844.6068	3128002.6344	3445441.26913	6699162.82886	4718837.71096	3680900.96153	4046822.24969	5585902.36244	6524633.24776	1704283.84662	1566943.20859	1731889.94171																																				
GTP	6800228.06208	6407763.21457	7733991.92148	12846360.211278	8724055.649473	9029836.062937	5713710.51253	6503571.054577	7496360.8673	14732857.99912	8345585.282311	13999137.584	2076215.70886	3080776.784613	2291962.487588	11838142.32576	4862598.13427	5116410.71038	3873562.16374	2592214.45679	5172081.24827	10294850.49459	6259798.82316	8869312.39745	340029.265438	208237.35419	175851.57536	5629518.41591	3301771.27497	3342714.85842	4483120.09963	9748373.44083	7799421.55173	4429480.76691	2830226.890063	2385827.072892																																				
2-OHGLu	7063592.48315	7407917.848538	7505947.034348	5705654.5664	6325802.73618	5851892.80579	3397242.04063	4406224.69243	3641860.7425	5938416.940944	7582383.62915	7903333.70709	4752537.82549	4966304.62725	5483598.24559	16140446.4976	13721863.2852	11338283.1536	4496088.5606	4320671.5557	6635937.6671	10111613.7397	10188298.3657	9475427.1345	3373345.61683	3426388.69792	3988439.5147	27165916.7545	26811103.5724	27391006.8137	18930377.4366	21924767.0073	20126417.6506	26362483.1589	19664735.89344	22660528.8544																																				
AMP	13643821.86146	13309975.21932	13281617.1975	9565403.92	9556049.635	9484595.774	8351394.18132	9426287.01196	10313563.26606	10002588.89176	9115817.066	9594099.02	9279020.4105	8389577.3368	7596991.1084	7405683.36312	5000743.87259	7638624.97551	4802414.37233	9256375.25364	4656373.53982	6958341.37654	4691349.03804	5627972.62777	2200378.69092	2266642.88004	2488413.22926	9617634.053841	8318398.26656	9314779.53593	6948836.948	7850214.7674	7438797.53515	8161352.00563	4992785.84585	5596683.24172																																				
Mal	12348806.96059	17115815.7083	17368601.3774	16359379.5508	21696115.3069	22561431.8276	14536665.81681	19120329.73548	19114573.37135	15244892.886	17291837.32571	21436832.016	38621620.34	52011693.102	47386312.392	30979835.4522	28483388.1166	28017337.2668	21257591.9669	27453870.5691	25898125.745	37124830.521	39306484.8654	35278840.3289	25893012.374	30322020.648	31552071.084	15755815.997	14113889.33	10159557.6354	14151863.124	20070376.849	17098078.44	16799414.335	19855378.282	18547202.624																																				
Suc	17453172.3207	23013184.5941	23651103.9339	16696697.2474	24960174.386	25257617.5083	11308685.138	18234745.9202	22459140.1433	15714845.958919	19646493.2229	25522780.3002	19286094.4272	23646593.883	23887926.953	15430602.704	19913145.337	19480654.704	15249360.4094	15470707.537	19461982.688	16530855.029	20156849.162	18090622.992	23470817.976	26399075.917	25326809.333	20138425.505	19448376.882	12784741.673	17635278.795	20154454.294	20118557.129	19196375.301	23212397.876	22378110.517																																				
Formate																																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285018313682234	0.248350990304605	0.300644986634633	0.389275327527862	0.431483031182131	0.411156619401312								
Phenylalanine																																					0.737799499288768	0.670280429542495	0.823579947159424	0.652972400014934	0.615116736913567	0.478027178820081	0.677129495963972	0.461727941800039	0.437600761653263	0.510996071864679	0.740891293624365	0.718794024840549	0.66796203390758	0.447143167041561	0.45062100703929	0.409007300243895	0.645733377937505	0.779575672104445	0.628332186293147	0.515773881726986	0.527678453670041	0.306635547663326	0.725423575812481	0.671907424939396	0.756520085307944	0.753638771495792	0.8149054444807	0.817654399645696								
Tyrosine																																					0.644659813289108	0.784892682609967	0.706513780800086	0.684352120881447	0.466309937495056	0.367700268520519	0.494344545124697	0.390291652757661	0.356138782966714	0.394561390321914	0.48492140902827	0.498615637853472	0.372141268970944	0.357807348399647	0.374263116535764	0.354169609244939	0.390751874840003	0.464225365163158	0.391028745933006	0.420838107435672	0.423784826832933	0.277541959083172	0.334939195254447	0.351015946731533	0.342485169776906	0.351415295482372	0.350102453193294	0.40124810349265								
